iter	Passed	Remaining
373	680	1138
374	681	1136
375	683	1134
376	685	1132
377	686	1130
378	688	1128
379	690	1126
380	691	1124
381	693	1122
382	695	1120
383	696	1118
384	698	1116
385	700	1114
386	702	1112
387	704	1110
388	705	1108
389	707	1106
390	709	1104
391	710	1102
392	712	1100
393	714	1098
394	716	1096
395	717	1094
396	719	1092
397	721	1090
398	724	1090
399	725	1088
400	727	1087
401	729	1085
402	731	1083
403	733	1081
404	734	1079
405	739	1081
406	741	1079
407	742	1077
408	744	1076
409	746	1074
410	748	1072
411	750	1071
412	752	1069
413	754	1067
414	756	1066
415	758	1064
416	759	1062
417	761	1060
418	763	1058
419	765	1056
420	767	1055
421	768	1053
422	770	1051
423	772	1049
424	774	1047
425	775	1045
426	777	1043
427	779	1041
428	780	1039
429	782	1037
430	784	1035
431	786	1034
432	788	1032
433	789	1030
434	791	1028
435	793	1026
436	795	1024
437	796	1022
438	798	1020
439	800	1018
440	802	1016
441	803	1014
442	805	1012
443	807	1010
444	809	1009
445	811	1007
446	812	1005
447	814	1003
448	816	1001
449	818	999
450	819	997
451	821	996
452	823	994
453	825	992
454	826	990
455	828	988
456	830	986
457	832	984
458	833	982
459	835	980
460	837	978
461	838	976
462	840	974
463	842	972
464	843	970
465	845	968
466	847	967
467	849	965
468	851	963
469	853	962
470	855	960
471	856	958
472	858	956
473	860	954
474	862	952
475	864	951
476	865	949
477	867	947
478	869	945
479	870	943
480	872	941
481	874	939
482	875	937
483	877	935
484	879	933
485	881	932
486	883	930
487	885	928
488	886	926
489	888	924
490	890	923
491	892	921
492	894	919
493	895	917
494	897	915
495	899	913
496	901	911
497	902	910
498	904	908
499	906	906
500	908	904
501	910	903
502	912	901
503	913	899
504	915	897
505	917	895
506	919	893
507	921	892
508	922	890
509	924	888
510	926	886
511	928	884
512	929	882
513	931	880
514	933	878
515	934	876
516	936	874
517	938	872
518	939	871
519	941	869
520	943	867
521	944	865
522	946	863
523	948	861
524	950	859
525	951	857
526	953	855
527	955	853
528	956	851
529	958	849
530	959	847
531	961	845
532	963	844
533	965	842
534	966	840
535	968	838
536	970	836
537	971	834
538	973	832
539	975	830
540	977	829
541	978	827
542	980	825
543	982	823
544	984	821
545	985	819
546	987	817
547	988	815
548	990	813
549	992	812
550	994	810
551	996	808
552	997	806
553	999	804
554	1001	802
555	1002	800
556	1004	799
557	1006	797
558	1008	795
559	1009	793
560	1011	791
561	1013	789
562	1014	787
563	1016	785
564	1017	783
565	1019	781
566	1021	779
567	1022	777
568	1024	776
569	1026	774
570	1028	772
571	1029	770
572	1031	768
573	1033	767
574	1035	765
575	1037	763
576	1038	761
577	1040	759
578	1042	758
579	1044	756
580	1045	754
581	1047	752
582	1049	750
583	1051	748
584	1052	746
585	1054	745
586	1056	743
587	1057	741
588	1059	739
589	1061	737
590	1063	735
591	1065	734
592	1066	732
593	1068	730
594	1070	728
595	1072	726
596	1073	724
597	1075	722
598	1077	721
599	1078	719
600	1080	717
601	1082	715
602	1083	713
603	1085	711
604	1087	709
605	1089	708
606	1091	706
607	1093	704
608	1094	702
609	1096	701
610	1098	699
611	1099	697
612	1101	695
613	1103	693
614	1104	691
615	1106	689
616	1108	687
617	1110	686
618	1111	684
619	1113	682
620	1115	680
621	1116	678
622	1118	676
623	1119	674
624	1121	672
625	1122	670
626	1125	669
627	1127	667
628	1129	665
629	1130	664
630	1132	662
631	1134	660
632	1135	658
633	1137	656
634	1139	654
635	1140	652
636	1142	651
637	1144	649
638	1146	647
639	1147	645
640	1149	643
641	1151	641
642	1152	640
643	1154	638
644	1156	636
645	1158	634
646	1159	632
647	1161	630
648	1163	629
649	1165	627
650	1166	625
651	1168	623
652	1170	621
653	1172	620
654	1173	618
655	1175	616
656	1177	614
657	1178	612
658	1180	610
659	1182	609
660	1184	607
661	1185	605
662	1187	603
663	1189	601
664	1190	599
665	1192	598
666	1194	596
667	1196	594
668	1198	592
669	1199	591
670	1201	589
671	1203	587
672	1205	585
673	1207	583
674	1208	581
675	1210	580
676	1211	578
677	1213	576
678	1215	574
679	1217	572
680	1219	571
681	1220	569
682	1222	567
683	1224	565
684	1225	563
685	1227	561
686	1229	560
687	1231	558
688	1233	556
689	1234	554
690	1236	553
691	1238	551
692	1240	549
693	1241	547
694	1244	546
695	1246	544
696	1249	543
697	1251	541
698	1252	539
699	1254	537
700	1256	535
701	1261	535
702	1262	533
703	1264	531
704	1266	529
705	1268	528
706	1269	526
707	1271	524
708	1273	522
709	1275	520
710	1277	519
711	1278	517
712	1280	515
713	1282	513
714	1284	512
715	1286	510
716	1288	508
717	1289	506
718	1291	504
719	1293	503
720	1295	501
721	1296	499
722	1298	497
723	1300	495
724	1302	493
725	1303	492
726	1305	490
727	1307	488
728	1308	486
729	1310	484
730	1312	482
731	1314	481
732	1316	479
733	1318	477
734	1320	475
735	1321	474
736	1323	472
737	1325	470
738	1326	468
739	1328	466
740	1330	465
741	1332	463
742	1333	461
743	1335	459
744	1337	457
745	1339	455
746	1340	454
747	1342	452
748	1344	450
749	1345	448
750	1347	446
751	1349	445
752	1351	443
753	1352	441
754	1354	439
755	1356	437
756	1357	435
757	1359	433
758	1361	432
759	1362	430
760	1364	428
761	1366	426
762	1367	424
763	1369	423
764	1371	421
765	1372	419
766	1374	417
767	1376	415
768	1377	413
769	1379	412
770	1381	410
771	1383	408
772	1384	406
773	1386	404
774	1388	403
775	1390	401
776	1391	399
777	1393	397
778	1395	395
779	1396	393
780	1398	392
781	1400	390
782	1401	388
783	1404	386
784	1406	385
785	1407	383
786	1409	381
787	1411	379
788	1413	377
789	1415	376
790	1416	374
791	1418	372
792	1419	370
793	1421	368
794	1423	367
795	1425	365
796	1426	363
797	1428	361
798	1430	359
799	1431	357
800	1433	356
801	1435	354
802	1436	352
803	1438	350
804	1440	349
805	1442	347
806	1444	345
807	1445	343
808	1447	341
809	1449	339
810	1450	338
811	1452	336
812	1454	334
813	1456	332
814	1457	330
815	1459	329
816	1461	327
817	1463	325
818	1464	323
819	1466	321
820	1468	320
821	1469	318
822	1471	316
823	1473	314
824	1474	312
825	1476	311
826	1478	309
827	1480	307
828	1482	305
829	1484	304
830	1486	302
831	1488	300
832	1489	298
833	1491	296
834	1493	295
835	1494	293
836	1496	291
837	1498	289
838	1500	287
839	1501	286
840	1503	284
841	1505	282
842	1507	280
843	1509	278
844	1511	277
845	1513	275
846	1514	273
847	1516	271
848	1518	270
849	1520	268
850	1522	266
851	1524	264
852	1525	262
853	1527	261
854	1529	259
855	1531	257
856	1533	255
857	1535	254
858	1537	252
859	1538	250
860	1540	248
861	1542	246
862	1544	245
863	1546	243
864	1547	241
865	1549	239
866	1551	237
867	1552	236
868	1554	234
869	1556	232
870	1558	230
871	1560	229
872	1562	227
873	1564	225
874	1565	223
875	1567	221
876	1569	220
877	1571	218
878	1572	216
879	1574	214
880	1576	212
881	1577	211
882	1579	209
883	1581	207
884	1583	205
885	1585	203
886	1586	202
887	1588	200
888	1590	198
889	1592	196
890	1593	194
891	1595	193
892	1597	191
893	1598	189
894	1600	187
895	1602	186
896	1604	184
897	1606	182
898	1607	180
899	1609	178
900	1611	177
901	1612	175
902	1614	173
903	1615	171
904	1617	169
905	1619	168
906	1621	166
907	1623	164
908	1624	162
909	1626	160
910	1628	159
911	1630	157
912	1631	155
913	1633	153
914	1635	151
915	1636	150
916	1638	148
917	1640	146
918	1641	144
919	1643	142
920	1645	141
921	1647	139
922	1648	137
923	1650	135
924	1652	133
925	1654	132
926	1655	130
927	1657	128
928	1658	126
929	1660	124
930	1662	123
931	1663	121
932	1665	119
933	1667	117
934	1668	116
935	1670	114
936	1672	112
937	1674	110
938	1675	108
939	1677	107
940	1679	105
941	1681	103
942	1683	101
943	1684	99
944	1686	98
945	1688	96
946	1689	94
947	1691	92
948	1693	90
949	1694	89
950	1696	87
951	1698	85
952	1700	83
953	1702	82
954	1703	80
955	1705	78
956	1707	76
957	1708	74
958	1710	73
959	1712	71
960	1713	69
961	1716	67
962	1717	66
963	1719	64
964	1721	62
965	1723	60
966	1724	58
967	1726	57
968	1728	55
969	1730	53
970	1731	51
971	1733	49
972	1735	48
973	1736	46
974	1738	44
975	1739	42
976	1741	40
977	1743	39
978	1745	37
979	1746	35
980	1748	33
981	1750	32
982	1752	30
983	1753	28
984	1755	26
985	1757	24
986	1758	23
987	1760	21
988	1762	19
989	1764	17
990	1766	16
991	1768	14
992	1770	12
993	1772	10
994	1773	8
995	1775	7
996	1777	5
997	1778	3
998	1780	1
999	1782	0
